Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
U1,L293D-007,DIL16,,TOP,-90,986.614,-940.551
U2,L293D-01,DIL16,,TOP,-90,1921.65,-940.551
,,ARDUINO-SIL8,,TOP,-90,98.4252,-940.551
,,SIL-100-02,,TOP,-180,345.276,-1279.53
,,ARDUINO-SIL8,,TOP,-90,590.551,-940.551
,,ARDUINO-SIL8,,TOP,-90,1279.53,-938.976
,,ARDUINO-SIL8,,TOP,-90,1574.8,-940.551
,,ARDUINO-SIL8,,TOP,-90,2263.78,-940.551
OP1,NSL-32SR3,OPTO1-AXIAL,,TOP,0,917.717,-344.882
OP2,NSL-32SR3,OPTO1-AXIAL,,TOP,0,1901.97,-344.882
,,CON2_1X2_U_FCI,,TOP,-270,590.551,-343.701
,,CON2_1X2_U_FCI,,TOP,-270,1574.8,-343.701
,,CON2_1X2_U_FCI,,TOP,-270,1279.53,-343.701
,,CON2_1X2_U_FCI,,TOP,-270,2263.78,-343.701
,,ARDUINO-SIL8,,TOP,-90,-1181.1,-940.551
,,WEMOS,,TOP,0,-547.441,-940.551
